runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2606,8.0615,38.869,True,71.075,True,5.8802,0.98,000110011001100110000
2610,8.5522,37.8325,True,89.3252,True,4.0801,0.94,000110011001100110000
2611,8.7555,39.1068,True,59.3168,True,2.0284,1.0,000110011001100110000
2613,8.9453,39.532,True,70.8166,True,2.5545,1.0,000110011001100110000
2614,8.7262,44.7573,True,44.9213,True,1.0198,0.9,000110011001100110000
2616,8.5651,39.6895,True,75.2493,True,1.4741,1.0,000110011001100110000
2617,8.796,35.1068,True,62.2452,True,1.4251,1.0,000110011001100110000
2620,8.5305,37.2885,True,55.1106,True,2.1236,1.0,000110011001100110000
2624,8.92,36.1424,True,51.2459,True,2.1687,0.94,000110011001100110000
2626,9.0,40.7822,True,68.4309,True,3.1172,1.0,000110011001100110000
2628,8.6936,41.2924,True,76.7139,True,3.8266,1.0,000110011001100110000
2629,8.0,35.0,True,89.8673,True,1.7858,0.98,000110011001100110000
2632,9.0,35.0,True,88.9887,True,1.3706,1.0,000110011001100110000
2633,8.1995,40.7192,True,74.5555,True,4.5539,1.0,000110011001100110000
2635,8.3554,43.8159,True,67.8184,True,4.3833,1.0,000110011001100110000
2638,8.0,38.4673,True,76.9337,True,4.6656,1.0,000110011001100110000
2639,9.0,36.3997,True,80.3881,True,0.015,0.99,000110011001100110000
2640,8.0946,38.6395,True,69.3286,True,3.7217,1.0,000110011001100110000
2643,8.1268,43.4219,True,76.7213,True,4.9028,1.0,000110011001100110000
2646,8.0,45.0,True,60.0506,True,1.4402,1.0,000110011001100110000
2651,8.6409,38.4912,True,86.1077,True,0.7397,1.0,000110011001100110000
2655,9.0,40.5765,True,75.412,True,2.9199,1.0,000110011001100110000
2656,8.0,38.6598,True,59.0234,True,2.5302,0.92,000110011001100110000
2658,8.6317,45.0,True,57.5397,True,2.5125,1.0,000110011001100110000
2659,8.6781,43.6492,True,45.4889,True,4.9324,0.93,000110011001100110000
2660,9.0,37.632,True,64.9165,True,5.0591,0.98,000110011001100110000
2661,9.0,36.6757,True,78.0622,True,5.0268,1.0,000110011001100110000
2662,8.7769,44.133,True,73.7043,True,4.1111,1.0,000110011001100110000
2663,8.8345,45.0,True,56.4022,True,3.171,0.99,000110011001100110000
2664,8.0,42.2813,True,72.825,True,4.0871,1.0,000110011001100110000
2665,8.0434,38.5044,True,55.8985,True,3.4296,0.91,000110011001100110000
2667,8.4867,44.604,True,57.601,True,5.4004,0.98,000110011001100110000
2668,8.1796,36.8386,True,87.9146,True,2.2483,0.96,000110011001100110000
2669,8.1271,45.0,True,84.4588,True,1.9573,1.0,000110011001100110000
2671,8.2733,44.0229,True,51.2424,True,3.6117,0.94,000110011001100110000
2673,8.1539,43.52,True,89.7742,True,0.3099,0.98,000110011001100110000
2676,8.7704,35.8986,True,52.5805,True,5.1718,0.83,000110011001100110000
2677,8.6938,41.8763,True,98.9963,True,0.5332,0.94,000110011001100110000
2678,8.9522,44.3608,True,50.6021,True,2.4784,0.92,000110011001100110000
2680,8.2059,45.0,True,92.3111,True,2.2239,0.99,000110011001100110000
2682,8.5572,36.9944,True,68.608,True,0.5831,1.0,000110011001100110000
2688,8.0146,39.4466,True,76.9398,True,3.1781,1.0,000110011001100110000
2691,8.1975,40.5816,True,67.1391,True,4.8414,1.0,000110011001100110000
2695,8.0,41.2504,True,71.1625,True,1.2421,1.0,000110011001100110000
2697,8.0,35.0,True,61.2564,True,3.7937,0.94,000110011001100110000
2700,8.3275,38.8024,True,77.0741,True,5.1323,1.0,000110011001100110000
2701,8.886,44.6308,True,96.0592,True,3.2824,0.91,000110011001100110000
