runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
4482,6.5325,42.419,True,65.2657,True,5.9194,0.94,000110011001100110000
4484,6.8995,36.9447,True,37.3108,True,2.3433,0.95,000110011001100110000
4487,7.0329,44.6295,True,55.2339,True,2.2722,1.0,000110011001100110000
4488,7.3682,37.5031,True,0.1416,True,3.5082,0.95,000110011001100110000
4489,7.4456,41.923,True,47.5577,True,1.6251,1.0,000110011001100110000
4492,7.1322,39.4096,True,63.5911,True,0.5749,1.0,000110011001100110000
4495,6.9803,40.9708,True,69.1861,True,1.2614,1.0,000110011001100110000
4496,7.3837,39.3454,True,73.7719,True,2.6906,0.99,000110011001100110000
4497,6.8417,41.9432,True,50.5446,True,0.2164,0.99,000110011001100110000
4498,6.6072,43.6659,True,67.3111,True,1.8748,0.96,000110011001100110000
4501,6.8019,43.9434,True,56.6562,True,5.1779,0.99,000110011001100110000
4503,7.0238,45.0,True,60.4597,True,2.7211,1.0,000110011001100110000
4504,6.762,41.6943,True,52.5548,True,3.6495,1.0,000110011001100110000
4507,7.4678,41.6007,True,63.2258,True,0.9084,0.99,000110011001100110000
4508,7.3305,39.9749,True,38.3915,True,4.7742,1.0,000110011001100110000
4510,7.1248,35.0,True,60.8021,True,3.0197,0.99,000110011001100110000
4511,7.5,39.922,True,77.6514,True,4.9122,0.93,000110011001100110000
4512,7.1421,41.0071,True,63.3222,True,2.891,1.0,000110011001100110000
4515,6.7821,41.0434,True,52.9538,True,1.0148,1.0,000110011001100110000
4516,6.5,45.0,True,40.4327,True,3.0409,1.0,000110011001100110000
4517,7.5,37.139,True,75.2624,True,2.0788,0.99,000110011001100110000
4519,6.9991,45.0,True,48.9147,True,1.1432,1.0,000110011001100110000
4521,7.4044,44.1361,True,41.9135,True,5.2897,1.0,000110011001100110000
4524,6.817,37.0471,True,64.1085,True,2.3845,0.96,000110011001100110000
4526,6.6695,39.6088,True,50.0902,True,4.5419,1.0,000110011001100110000
4527,7.1125,41.6262,True,39.4676,True,4.9252,1.0,000110011001100110000
4528,7.5,45.0,True,36.5947,True,3.3231,1.0,000110011001100110000
4529,7.5,42.5151,True,61.6911,True,4.0265,1.0,000110011001100110000
4530,7.3577,45.0,True,53.3728,True,1.9665,1.0,000110011001100110000
4531,6.7945,37.8047,True,66.4514,True,1.3489,0.92,000110011001100110000
